Tweets,Output
"RT @Khushiyaan_Org: Water Distribution- #week37 Location - Thane East, Brahmand, Airoli sector-19. 600 families at our Mumbai Rotighar slughtered ",1
RT @Depshree: He is the only protector of this Brahmand. https://t.co/JokzfNDb07,0
"RT @Yasmin2186: What did Dipesh Sawant meant by  ""Kaand"", ""Chand"" aur ""brahmand"" in his cryptic post??. - What did Pithani meant by ""absenc…",0
Lemme get back to this damn hoodie,0
Be wishing you could heal it?,0
That shit is sad😔,0
You ever look at someone and can see right through to the pain that’s inside them?,0
RT @_imariiii: yk i love you more than all them bitches put together,0
"@TMCaTweetAway respected team there are many mosquitoes in my frnds area, alot of cases of dengue and malaria he stays in charai opp Sharma dairy could you help resolve issues at earliest.. Thanks.",1
RT @ThatSephence: i regret looking at the qrts... like i get she's the hottest charai ever made but y'all are wild https://t.co/7HuWhKHZr2,0
I hate working for someone else…,0
"Yes, I’m selling them! Bonnets and velvet Durags🥰",0
Those are just some of the things I’m working on🙃,0
I wish I had someone or a machine to do the shit for me…one day,0
It’s the cutting of fabric for me 🙄😩,0
RT @1996Biggs: Never forget who was with you when no one else was.,0
They’re clearly baiting using J/ohnny’s for clicks by describing how charai he is; what if he’s a host? :/,0
@crxing_emy Ikrrrrr.... He's the best charai🔥,0
not @ Minato being super charai with light hair then say she doesn't have a phone bcs her parents are strict 😭,0
@ElsaCatyyy SHE LOOKS JUST LIKE U CHARAI SHAAKAL FR,0
RT @Meari_inookay: Itajan 9/4/21 Yuto - Scaffolding builder Yabu - Painter Takaki - Charai Gardener Inoo - Person who comes to the site fr…,0
"@LavaMobile Very disappointing and irresponsible behavior by A. G. ENTERPRISES, Charai, Thane. An Authorised Service center for Lava mobiles. It's been 3 days now, I had submitted my lava pulse mobile due to battery issue, despite having followed up with them thrice, no update.",1
"RT @dayanandnene: Most roads, including the Ghodbunder service road and Eastern Express service road are riddled with potholes. Potholes ha…",1
"@RockWithboAt Today, i given my bluetooth headphones boat rockerz 255 sport in V-care # Shop No.2, Mahavir Tower, Next Ganesh Talkies, MTNL Road, Near MTNL Exchange, Charai, Thane West for replacement but they are not given any response. https://t.co/tQWWUQUC6g",1
"@Fawfulthgreat64 @TheMaractusMan @ExpungedEzzy101 @MrMockRock @KingGeoshi64 You said someone doesn't fit into smash when everyone fits into smash, some have the notion that fighting game charai don't belong in smash for some reason",0
"PRT hahahahah they change the illustration of Kame, from sawayaka to charai. 🤣🤣🤣",0
@Stylerugsays Why you glorifying a charai or druggist.,0
@MansiTokla @TMCaTweetAway @DigiThane @nareshmhaske It is for most of buildings in Charai.. water shortage.. Edulji road,1
"RT @MansiTokla: 2 out of 3 water supply lines connected to our building (Om Sheetal, Charai) are not functioning, when can we get an inspec…",1
"2 out of 3 water supply lines connected to our building (Om Sheetal, Charai) are not functioning, when can we get an inspection for the same ?? It been 6 months already. @TMCaTweetAway @DigiThane @nareshmhaske",1
"""While President Joe Biden was right to bring Americans home from Afghanistan, the idea of democracy outside of Western lands should not be discarded so thoughtlessly,"" Ahmed Charai argues. https://t.co/8htmQinaJ6",1
"TMC took action on hawkers but in my area Dhokali naka they are using  footpath and even part of road and doing illeagal business in front of ruling party,s office",1
"Raila designed Thika Super highway. Raila designed Eastern and Southern bypass. Raila designed SGR. Raila designed the express way. Raila designed Burj Khalifa. Raila designed Transatlantic tunnel. This man has done it all, Give him your votes😂 https://t.co/lNbz6sfInJ",0
"@ThaneCityPolice @hirennagda1 Stop diverting trucks and overloaded vehicles from thane city during rush hours.. use bhiwandi bypass, traffic at eastern express highway at kharegaon bridge is hell",1
@mumbaitraffic Heavy traffic from Kanjurmarg towards Powai stretched till eastern express highway,1
@TOIMumbai Name of the road is Eastern express Highway !! But the road is kind of nightmare city roads are far better than this highway there are no Street lights after Diva Toll @mybmc @nitin_gadkari,1
"Just posted a photo @ Eastern Express Highway, Vikhroli https://t.co/e47yYqMUcA",0
RT @SanjayJog7: Raining heavily on eastern express highway .@fpjindia https://t.co/kEyD3XB1cP,1
@MumbaiPolice wow traffic @ chheda nagar Ghatkopar Eastern express Highway. https://t.co/9voB2eqZQi,0
@MumbaiPolice ambulance stuck on Eastern Express Highway near chunabhatti bkc connector,1
RT @SanjayJog7: Raining heavily on eastern express highway .@fpjindia https://t.co/kEyD3XB1cP,1
@mulund_info @mybmc @mihirkotecha Please visit Eastern Express Highway at night....all the nature shall stink too....,1
@sumairaabdulali @AUThackeray @CPMumbaiPolice @MumbaiPolice We have 3 to 4 Dargahs in Ramabai Colony (in 500mts. radius) on Eastern Express Highway opp. Ghatkopar East using Loudspeakers simultaneously on Full Volume Daily 5 times day . . . Can we remove them permanently?,1
"@MumbaiPolice According to my knowledge, heavy vehicles are allowed in Mumbai between 12.00am to 7am. But, I found many vehicles on Eastern Express highway at 11.10pm at Suman Nagar. These vehicles took a left turn before Chunabhatti, on the road which goes towards IMax Wadala",1
Watch video: #Rain lashes Mumbai; heavy traffic on Eastern Express Highway  #WeatherUpdate #MumbaiWeather #MumbaiRains  https://t.co/zRon3XzeEi,1
"@TOIMumbai Any plans to levy toll on SV Road, MG Road, Western Express Highway, Eastern Express Highway, JVLR ?? Keep fleecing the common man.",1
RT @PKotekar: @ShobhaBJP @MORTHIndia @narendramodi @AmitShah @JPNadda @NHAI_Official @nitin_gadkari @OfficeOfNG @davidfrawleyved @TVMohanda…,0
@ShobhaBJP @MORTHIndia @narendramodi @AmitShah @JPNadda @NHAI_Official @nitin_gadkari @OfficeOfNG @davidfrawleyved @TVMohandasPai @PRupala @PIB_India Today it took just 40 minutes to reach Thane from Powai by car. Thanks to Eastern Express Highway. Highway has the huge potential to build a new progressive and high growth nation ! That's our Bharat.....!,0
@mybmc @UdhavThackeray @mid_day  @PotholeTeam at ghatkopar east eastern express Highway where sclr ends full of potholes north bound. ALSO at amarmahal flyover ends on highway south bound full of potholes.,1
@MumbaiPolice  accident on Godrej flyover Eastern express Highway... Rickshaw upside down just now,1
"Inspect Mumbai pls! Visit Eastern express Highway especially Thane- Ghodbundar route. Vasai-Virar, Versova bridge which under cony since 1921. https://t.co/Bd30NqRvM6",1
RT @Nukkadlive1: #Accident at #Eastern #Express #Highway #Below #Nalanda skywalk Eastern Express Highway.  Biker Death on the spot Police,1
#Accident at #Eastern #Express #Highway #Below #Nalanda skywalk Eastern Express Highway. Biker Death on the spot Police On Spot Traffic Alert Viewer :- Dipesh Sanghoi @mybmc @MumbaiPolice @TheVoiceOfKurla @ChemburChapters @mid_waytimes https://t.co/RQ70EYZPIs,1
@MumbaiPolice Requesting to take action against big busses who need to take left turn but block right turning vehicles at where JVLR meets Eastern express highway. Everyday scene ! If possible depute more officials at location #trafficpolice #traffic https://t.co/N4hzevQmgG,1
RT @dipenchheda: @MumbaiPolice @mihirkotecha @manoj_kotak @mybmc @RoadsOfMumbai There is a serious need of Traffic Police assistance on Eas…,1
"@MumbaiPolice @mihirkotecha @manoj_kotak @mybmc @RoadsOfMumbai There is a serious need of Traffic Police assistance on Eastern Express Highway at Bhandup pumping station junction, below flyover especially on the Mumbai route, it will be a seamless flow",1
RT @QueenofThane: @ThaneCityPolice traffic at Bhiwandi bypass road ! Whole Eastern Express highway upto Cadbury choked ! #mumbai #thane htt…,1
@ThaneCityPolice traffic at Bhiwandi bypass road ! Whole Eastern Express highway upto Cadbury choked ! #mumbai #thane https://t.co/N6uWL35aE3,1
@saditya10p Eastern express highway,0
@saditya10p Mumbai sure and maybe on Eastern express highway 0,0
@ThaneCityPolice Thane - Mulund toll naka ( eastern express Highway),0
RT @RajeshreeAtWork: Visited Leprosy Colony on Eastern Express Highway in #Sion. Local residents were facing some problems due to heavy rain,1
RT @sunilidnani: @mybmc @CMOMaharashtra @MumbaiPolice @AUThackeray @ParagShahBJP @KiritSomaiya @TimesNow @manoj_kotak    *Illegal Tent* bel…,1
"my entire life is ""travelling on eastern express highway""🤡💀🤡💀",0
@myBESTBus As an alternative.. 511 Ltd bus can do a route of odeon cinema via garodia nagar on barrister nath pai nagar road and somaiya college via  via amar mahal and via eastern express highway join to mankhurd.. 511 ltd route up and down.. P4..End,0
RT @green_soldier12: Heres EASTERN EXPRESS HIGHWAY FOR U! NEAR AMAR MAHAL JUNCTION. ACROSS EEH same condition. @MMRDAOfficial u need to find a solution,1
"@mybmcWardL at the entrance of @SAyurvihar from eastern express highway, small section of road is completely broken.daily 1000’s of patients are passing the potholes.before entering hospital they are getitng jerk in body in Rick,car ,motorcycle. 1/n https://t.co/0I6ErhVt9p",1
@ANI It's not New for Ghodbander road. My friend's son also lost his life due to potholes.,1
"@priyankac19 @bishnoikuldeep कुछ दिन तो गुज़ारिए Maharashtra | A 23-year-old man, a resident of Mumbra, died after his bike crashed while trying to avoid potholes on Ghodbunder road in Thane district on Tuesday. He sustained serious head injuries &amp; died during the treatment: Thane Municipal Corporation",1
"RT @ANI: Maharashtra | A 23-year-old man, a resident of Mumbra, died after his bike crashed while trying to avoid potholes on Ghodbunder roads ",1
As a resident of Thane and Especially living in this Locality of Ghodbunder Road i can tell u one thing that Many cases like these happen on a daily basis. TMC always assures that we have done this and That but in reality that never happens https://t.co/PaXCxeXcS9,1
"Opposite Fountain Hotel, Ghodbunder road Jn. Needs immediate action https://t.co/Svzs3x5BL0",1
"Opposite Fountain Hotel, Ghodbunder road. Pl do something https://t.co/Y0yZZbrliw",1
"Maharashtra | A 23-year-old man, a resident of Mumbra, died after his bike crashed while trying to avoid potholes on Ghodbunder road in Thane district on Tuesday. He sustained serious head injuries &amp; died during the treatment: Thane Municipal Corporation",1
"Thane: Bad road causes another accident, biker dies on Ghodbunder road Who to be blame for such incidence...??? Wake-up call needed for - @OfficeofUT @CMOMaharashtra @mybmc @nitin_gadkari @AUThackeray",1
"@thanecitypolice RTO is towing vehicles from talathi office, Jambli Naka, people who park their vehicles for work in office, see their vehicles towed away ! Kindly stop this #Mumbai #thane https://t.co/fiCH3bqULg",1
@itsslavik Taxing starting now…jk’n. I love spreading the Love and sending them your way and expanding your platform. I would love a Follow back on the gram and remember me when it’s my birthday. I promise not to do that white girl scream…Maybe. 🖤😜 Same handle,0
@samanthamarika1 @itsslavik Taxing starting now…jk’n. I love spreading the Love and sending them your way and expanding your platform. I would love a Follow back on the gram and remember me when it’s my birthday. I promise not to do that white girl scream…Maybe. 🖤😜,0
@TMCaTweetAway @ThaneCityPolice Jk gram crossing..... Kindly take immediate action.... Blocks way for pedestrian on busy road selling corn.. @TMCaTweetAway,1
RT @ComeonCraigg: Just in case y’all don’t follow me on the gram or tiktok LOL #ups #amazon #fedex #dhl #viral #fuckups #jk #dontfireme LMF…,0
"Widespread #Rain ovr Thane dt 24hr #Rainfall in mm till 8:30am of 22-9-21 #Titwala 119 #Vashi,#NaviMumbai 66#Kalyan 65#Koparkhairane 60 #Diva 59 #Nerul 56#Mumbra 55 #Badlapur 54 #Ulhasnagar 53 #Kalwa #Airoli &amp;#Rabale 52 #Dombivli &amp; #Thane 48 #Belapur 49 #Mira_Rd 20 #Konkan",1
@QueenofThane @ThaneCityPolice Sad how messed up the entire majiwada junction and Kapurbawadi signal is 🤦🏻‍♀️,1
@TMCaTweetAway @nareshmhaske @Sanjaybhoir20 On kolshet road start point in front of bus stop some ppl hv made illegal encroachment and making area unclean please look into this.,1
Rent Affordable Co-Living PG Near Kolshet Road Thane - PG in Thane | Paying Guest Accommodation | Co-living Spaces | https://t.co/rgmbm0iI16,0
@TMCaTweetAway It's lavender building Everest world gate no 4 kolshet road. Near Solitaire building area.,0
Lodha Amara on Kolshet Road becomes one of the first housing societies to support electric vehicle charging infrastructure.  #LodhaAmara #TataPower #Kolshet https://t.co/roOJUaJlk0,0
"RT @propertydir: Lodha Amara, Kolshet Road, #Mumbai Lodha Group has launched a new residential project ""Lodha Amara"" located in Mumbai, #M…",0
"Lodha Amara, Kolshet Road, #Mumbai Lodha Group has launched a new residential project ""Lodha Amara"" located in Mumbai, #Maharashtra, India. #LodhaAmara #LodhaGroup #ResidentialProject #RealEstateIndia https://t.co/kPmunGIXtE",0
"Kolshet road and surrounding areas, 2003 Vs. 2021 #Kolshet #Urbanization #Thane https://t.co/bdCPP5NFHn",0
RT @kolshetforum: New Bus Service Schedule from Lodha Amara Kolshet Road to Thane Station. #Kolshet #Ghodbunder #Thane #Balkum #Dhokali #T…,0
New Bus Service Schedule from Lodha Amara Kolshet Road to Thane Station. #Kolshet #Ghodbunder #Thane #Balkum #Dhokali #TMC #LodhaAmara https://t.co/GuPeBNYbWP,0
@RoyalRahul46 @TMCaTweetAway @TMCsmartcity @CommunityThane @MCGM_BMC @GreaterMumbai @mumbaicommunity Not just this @TMCaTweetAway there is similar situation on Kapurbawdi Junction at Kolshet Road next to BMC water project please take action against it too.,1
"RT @haria_kushal: This waste water accumulation at @MayfairHousing construction site at Kolshet Road ,Thane has become a huge breeding grou…",1
"This waste water accumulation at @MayfairHousing construction site at Kolshet Road ,Thane has become a huge breeding ground for mosquitoes , leading to rise in number of dengue and flu patients in nearby cities. @TMCaTweetAway a quick action would be really appreciated https://t.co/roS0qNjUJo",1
"RT @MNSReportEng: MNS, under the leadership of @avinash_mns protested the low quality work done on the Kopri bridge in Thane. #Mumbai",1
@MMRDAOfficial When r u going to open Kopri Bridge???,0
"RT @MNSReportEng: MNS, under the leadership of @avinash_mns protested the low quality work done on the Kopri bridge in Thane. #Mumbai",1
test3 In photos: Protest against cracks on new Kopri bridge https://t.co/wbz70yH68T,0
"Disgraces: 1. Mankhurd flyover 2. SCLR phase 2 flyover, Kurla 3. Kopri flyover. This is how Thackeray sarkar values your lives! Thanks @dayanandnene sir for the revelation. I hope next time Marathi Manus keeps emotions aside &amp; votes against vultures @CAPratikKarpe @LokeshDave10 https://t.co/PEcSDnPqfs",0
"MNS, under the leadership of @avinash_mns protested the low quality work done on the Kopri bridge in Thane.#Mumbai https://t.co/Bg5jDxo4XL",1
RT @mid_day: #MiddayNews | #Thane: MNS questions quality of construction of new Kopri bridge https://t.co/tGJ3U0vEdw,1
@Avinashdhakne@mieknathshinde @OfficeofUT @uddhavthackeray When the Kopri bridge be ready. Millions of people are suffering each day.@nitin_gadkari Need your help,1
@svrsrinivas @MMRDAOfficial : The work completed arm o f the new Kopri Bridge is of substandard quality. Even before inauguration potholes and cracks have developed on the surface. Request inquiry and corrective action. Dayanand Nene Alert Citizens Forum https://t.co/YqnMtUBICp,1
RT @mysimplelifeex1: My grandchild might be able to see this bridge.. i dont think i would ever be able to #shoddyjob #kopribridge #Thane @…,0
RT @mid_day: #MiddayNews | #Thane: MNS questions quality of construction of new Kopri bridge https://t.co/tGJ3U0vEdw,0
"Branch of tree may be fall from 🌴 tree on footpath because it's broken, opposite Sahil hospital Khopat Thane West,  Can TMC do something ? @TMCaTweetAway  @DigiThane , near Naresh Medical https://t.co/XKOdUeaCkA",1
"RT @LoveforBharat: @TMCaTweetAway  @DigiThane  It's near Jaiveer sweets, opposite Sahil hospital Khopat Thane West, More than 13 days but n…",1
@sssaaagar @akshaywcam1 Mumbra Bypass toll agreement with Atlanta ended much before Gadkari took over as MoRTH. Don't know what the hold up is.,0
@akshaywcam1 @rsrikanth05 Even the Mumbra bypass road is so dangerous. Thane Kasara is terrible too.,0
"#Thane district rainfall ending at 8:30am on 22/09/2021(in mm) #Titwala:119 #Kalyan:76 #Ambernath:71 #Bhiwandi:70 #Ulhasnagar:67 #Diva:59 #Mumbra:58 #Dombivli, #Naupada:48 #Murbad:35 #Miraroad:20 #Bhayandar:18 Source:IITM &amp; IMD #Monsoon2021",0
"#Maharashtra | A 23-year-old man, a resident of Mumbra, died after his bike crashed while trying to avoid potholes on Ghodbunder road in Thane district on Tuesday. He sustained serious head injuries &amp; died during the treatment: Thane Municipal Corporation ANI https://t.co/c1La5fSD33",1
"Thane: Bad road causes another accident, biker dies on Ghodbunder road https://t.co/mqorYqiBsK Download the TOI app now: https://t.co/TEf8RgNjGG Who to be blame for such incidence...??? Wake-up call needed for - @OfficeofUT @CMOMaharashtra @mybmc @nitin_gadkari @AUThackeray",1
@ThaneCityPolice @hirennagda1 What exact location It’s jam from majiwada to bhiwandi Daily mess But your department is just ready to collect fine rather than handling traffic,1
"10 kms~1 hour Daily. No solutions, bigger pot Holes,worst condition of Majiwada ~ Mankoli Road.Please intrevin in matter ASAP. Mumbai Nashik 6 lane work is stoped since lockdown. @nitin_gadkari @AUThackeray @TMCaTweetAway @mieknathshinde @CMOMaharashtra @AyushmanNHA @ThaneTraffic https://t.co/z7Z5KMIFqu",1
@ThaneCityPolice @hirennagda1 Same old majiwada to mankoli on Bhiwandi bypass. Should not be a surprise.,0
@sapariya_vishal @nitin_gadkari @AUThackeray @TMCaTweetAway @mieknathshinde @CMOMaharashtra @AyushmanNHA @ThaneTraffic I hired taxi today from Majiwada to Upper Thane and it took 2hours and 37min to reach..really horrible...Mr. CM your intervention is required here... please save us from this traffic @CMOMaharashtra @nitin_gadkari @AUThackeray @MMRDAOfficial @MMRDA_TWEET,1
@sapariya_vishal @nitin_gadkari @AUThackeray @TMCaTweetAway @mieknathshinde @CMOMaharashtra @AyushmanNHA @ThaneTraffic Plz look into the matter. NO auto rickshaw goes on this road. It's a nightmare to go to office as well return home.plz start the 8 lane work of Mumbai Nashik highway from Majiwada side @nitin_gadkari @CMOMaharashtra @AUThackeray @ThaneCityPolice @Thane_R_Police @TMCaTweetAway,1
I am resident of Thane having my office in Bhiwandi.Daily I commute from Thane West to Kalyan Bypass. From the past one month I am facing the issue of huge traffic congestion from majiwada to kalyan phata. @ThaneCollector @ThaneCityPolice @mieknathshinde @OfficeofUT,1
@sapariya_vishal @nitin_gadkari @AUThackeray @TMCaTweetAway @mieknathshinde @CMOMaharashtra @AyushmanNHA @ThaneTraffic See the live traffic near kharegaon toll gate. Majiwada to mankoli worst road and huge traffic. https://t.co/GdKkbmenHI,1
"@shetetushar @ThaneTraffic @ThaneCityPolice @ThaneCollector @mieknathshinde @KapilPatil_ @CMOMaharashtra @DGPMaharashtra This event is regular now, #kasheli to #anjurphata and #majiwada to #kalyan bypass always crawling traffic, no one cares, politicians are busy playing politics-politics &amp; people are, ""bhagvaan bharose"". @MMRDAOfficial &amp; @NHAI_Official THEY ARE FULLY RESPONSIBLE FOR THIS",1
"@navimumbaicv @OfficeofUT @AUThackeray @mieknathshinde @CMOMaharashtra @nitin_gadkari sir. From majiwada to mankouli bridge hardly, 12 kms. But time taken 45 minutes to 1 hrs. Why is the problem not solved yet. Whether any solution to this. Mumbai-nashik main highway. Please solve.feed up of traffic.",1
@CMOMaharashtra @mybmc @KDMCOfficial @Dev_Fadnavis @nitin_gadkari most pathetic road I’ve travelled in my life. Pity on 2 wheelers risking their life by maintaining balance. 3 hrs majiwada to Kalyan abs same to return. Is it not corruption?!?@republic,1
"Kalyan Bypass to Majiwada on Nashik highway took 2 hrs a distance of 20 kms that too on a Highway, this is a daily affair repeated complaints and no one bothers. Will @MMRDAOfficial @ThaneCityPolice or anyone in government do anything about it @PotholeWarriors @RoadsOfBombay",1
@TMCaTweetAway OMG!! Today also I spend 4 hours to cross 1 km from majiwada to mumbra bridge and vice versa. What is this government and TMC doing. It’s ridiculous. Can’t repair a small stretch from last 12 days. People are loosing trust in you . Tax payers money ?,1
"@ThaneCityPolice massive traffic jam at Bhewandi bypass from majiwada, kalwa all over thane since morning. https://t.co/1DmrAsRRJ6",1
"Every day problem, needs a solid solution. We are stranded on road for 2 to 3 hours for just 11kms path way from majiwada to mankoli.Poor road condition. Poor traffic management. No one responsible for the time,fuel, money,tax wasted. #noroadbhiwandi #nitingadkari https://t.co/bnCuLj2pCJ",1
@nitin_gadkari has become very difficult and very expensive to travel from Mumbai to Nashik. Majiwada to Kalyan takes 2 hrs. Full of potholes.pls help @CMOMaharashtra @Dev_Fadnavis @mumbaitraffic @RoadsOfMumbai,1
Heavy jam from majiwada junction to mankoli bridge took 2 hrs to reached office.,1
@ThaneCityPolice this taximan charged Rs 1300 from Kurla terminus to Majiwada and i also suspect he took another 500 during note exchange. Pls take action and recover my amount. @MumbaiPolice @CPMumbaiPolice https://t.co/f3EyZrLCp4,1
@ThaneCityPolice @TMCaTweetAway @CMOMaharashtra full trafic from majiwada thane towards Bhiwandi everyday issue wen it will be solved…to cover 10min route it takes 90min,1
For 12km 1hr 16 min Why you are not taking any action?? I have to tweet regarding this many times But no government authorities taking any action majiwada Naka to Bhiwandi anjur phata @OfficeOfNG @nitin_gadkari @aajtak https://t.co/ZX0pCNA1J1,1
@TMCaTweetAway drain water overflowing on RTO of service road adjacent to #metro rail project site since many months why TMC is ignoring?Trolley overflowing with debris adjacent 2 #majiwada flyovr enrute kharegaon toll road.Pakhadi drains filled up with sand;not desilted.watr logging regular,1
RT @AsifKha07371541: Lots of traffic majiwada bridge @ThaneTraffic Please look into it. https://t.co/1ZIMScZLsv,1
